Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
"Kamjong, Senapati, Tamenglong, Imphal West, Kakching, Bishnupur, Chandel, Churachandpur, Imphal East, Jiribam, Kangpokpi, Thoubal, Tengnoupal, Ukhrul, Noney, Pherzawl",1989,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Kamjong, Senapati, Tamenglong, Imphal West, Kakching, Bishnupur, Chandel, Churachandpur, Imphal East, Jiribam, Kangpokpi, Thoubal, Tengnoupal, Ukhrul, Noney, Pherzawl",1991,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kamjong, Senapati, Tamenglong, Imphal West, Kakching, Bishnupur, Chandel, Churachandpur, Imphal East, Jiribam, Kangpokpi, Thoubal, Tengnoupal, Ukhrul, Noney, Pherzawl",2000,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
Kamle,2022,1,8,,,Kamle,3,1,25202,5,Kamle,2.140222737,0.304270955,1.835951782,0.000119038,8.000952305,462.6965681,
Kamrup,1978,1,7,,,Kamrup,181,13,1546068,8,Kamrup,10.03897902,1.476174408,8.562804612,0.000117071,7.000819498,132386.782,
Kamrup,1991,2,1,,,Kamrup,181,13,1546068,8,Kamrup,10.03897902,1.476174408,8.562804612,0.000117071,2.000234142,132386.782,
Kamrup,2000,2,1,,,Kamrup,181,13,1546068,8,Kamrup,10.03897902,1.476174408,8.562804612,0.000117071,2.000234142,132386.782,
Kamrup,2001,1,1,,,Kamrup,181,13,1546068,8,Kamrup,10.03897902,1.476174408,8.562804612,0.000117071,1.000117071,132386.782,
Kamrup,2003,1,1,,,Kamrup,181,13,1546068,8,Kamrup,10.03897902,1.476174408,8.562804612,0.000117071,1.000117071,132386.782,
Kamrup,2013,1,1,,,Kamrup,181,13,1546068,8,Kamrup,10.03897902,1.476174408,8.562804612,0.000117071,1.000117071,132386.782,
Kamrup,2023,3,1,,,Kamrup,181,13,1546068,8,Kamrup,10.03897902,1.476174408,8.562804612,0.000117071,3.000351214,132386.782,
Kamrup Metro,2016,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kamrup Metro,2022,2,1.5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
Kamrup Metro,2023,2,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Kamrup,",2021,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kamrup, Karbi Anglong,Nagaon,Sonitpur",2003,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kancheepuram,1995,1,5,,,Kancheepuram,28,6,1542112,6,Kancheepuram,2.694220448,0.935998334,1.758222114,1.82E-05,5.000090785,27113.75421,
Kancheepuram,2010,1,1,,,Kancheepuram,28,6,1542112,6,Kancheepuram,2.694220448,0.935998334,1.758222114,1.82E-05,1.000018157,27113.75421,
Kangra,1985,1,1,,,Kangra,173,58,1693351,4,Kangra,1.044453548,0.966952237,0.077501311,0.000102164,1.000102164,1312.369225,
Kangra,1990,1,5,,,Kangra,173,58,1693351,4,Kangra,1.044453548,0.966952237,0.077501311,0.000102164,5.000510821,1312.369225,
Kangra,2003,1,1,,,Kangra,173,58,1693351,4,Kangra,1.044453548,0.966952237,0.077501311,0.000102164,1.000102164,1312.369225,
Kangra,2006,2,1,,,Kangra,173,58,1693351,4,Kangra,1.044453548,0.966952237,0.077501311,0.000102164,2.000204329,1312.369225,
Kangra,2021,2,1,,,Kangra,173,58,1693351,4,Kangra,1.044453548,0.966952237,0.077501311,0.000102164,2.000204329,1312.369225,
"Kangra, Kangra, Kinnaur, Mandi,Shimla",2007,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Kangra, Kinnaur,Kullu",2006,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Kangra, Kullu, Mandi, Sirmaur,Una",2011,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Kangra, Mandi, Sirmaur,Una",2013,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Kangra, Pithoragarh",2007,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kangra, Shimla,Sirmaur",2008,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Kangra,Hamirpur",1989,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Kangra,Kullu",1983,1,6,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,6.000344251,18263.97663,
"Kangra,Kullu",2004,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
Kannauj,2013,1,1,,,Kannauj,71,7,1938161,21,Kannauj,3.637205694,0.028212116,3.608993578,3.66E-05,1.000036633,69948.10602,
Kannauj,2023,1,2,,,Kannauj,71,7,1938161,21,Kannauj,3.637205694,0.028212116,3.608993578,3.66E-05,2.000073265,69948.10602,
Kanniyakumariumari,1992,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
Kanniyakumariumari,1995,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kanniyakumariumari,1998,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kanniyakumariumari,2000,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kanniyakumariumari,2007,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kanniyakumariumari,2016,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Kanniyakumariumari, Madurai, The Nilgiris,Theni",2014,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Kanniyakumariumari, Namakkal, The Nilgiris,Tiruchirappalli",2005,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kanniyakumariumari, Salem,  Tiruchirappalli,Thoothukkudi",2010,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Kanniyakumariumari,Tirunelveli",2010,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kannur,1979,2,1.5,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,3.000172126,62866.60845,
Kannur,1995,1,1,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,1.000057375,62866.60845,
Kannur,1999,1,1,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,1.000057375,62866.60845,
Kannur,2002,1,1,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,1.000057375,62866.60845,
Kannur,2004,1,1,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,1.000057375,62866.60845,
Kannur,2013,1,1,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,1.000057375,62866.60845,
Kannur,2015,1,1,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,1.000057375,62866.60845,
Kannur,2021,2,5,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,10.00057375,62866.60845,
Kannur,2022,5,1,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,5.000286876,62866.60845,
Kannur,2023,1,5,,,Kannur,153,53,2666656,5,Kannur,3.447996641,1.090489394,2.357507247,5.74E-05,5.000286876,62866.60845,
"Kannur, Kasaragod, Kottayam, Kozhikode, Malappuram, Thiruvananthapuram",1997,1,12,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,12.0006885,18263.97663,
"Kannur, Kasaragod, Kozhikode, Malappuram,Wayanad",2014,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Kannur, Kollam, Palakkad,Thiruvananthapuram",1991,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kannur, Kozhikode,Wayanad",2012,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Kannur,Kozhikode",1979,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Kannur,Kozhikode",1990,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kannur,Wayanad",2006,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
Kanpur Nagar,1985,1,2,,,Kanpur Nagar,112,1,4932257,20,Kanpur Nagar,5.234616541,0.360877047,4.873739494,2.27E-05,2.000045415,240385.3574,
Kanpur Nagar,1999,1,3,,,Kanpur Nagar,112,1,4932257,20,Kanpur Nagar,5.234616541,0.360877047,4.873739494,2.27E-05,3.000068123,240385.3574,
Kanpur Nagar,2022,1,1,,,Kanpur Nagar,112,1,4932257,20,Kanpur Nagar,5.234616541,0.360877047,4.873739494,2.27E-05,1.000022708,240385.3574,
Kanpur Nagar,2023,1,2,,,Kanpur Nagar,112,1,4932257,20,Kanpur Nagar,5.234616541,0.360877047,4.873739494,2.27E-05,2.000045415,240385.3574,
Kanpur Nagar Dehat,2022,2,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Kanpur Nagar Nagar,Kanpur Nagar Dehat,Rae Bareli",2004,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
Kapurthala,2008,1,1,,,Kapurthala,85,2,865875,6,Kapurthala,3.634049856,0.260845183,3.373204673,9.82E-05,1.000098167,29207.73596,
Kapurthala,2023,1,7,,,Kapurthala,85,2,865875,6,Kapurthala,3.634049856,0.260845183,3.373204673,9.82E-05,7.000687166,29207.73596,
Karauli,2005,1,1,,,Karauli,10,3,1777972,35,Karauli,0.633480722,0.197979321,0.435501401,5.62E-06,1.000005624,7743.092969,
Karauli,2021,1,1,,,Karauli,10,3,1777972,35,Karauli,0.633480722,0.197979321,0.435501401,5.62E-06,1.000005624,7743.092969,
Karbi Anglong,2022,1,2,,,Karbi Anglong,66,5,693265,20,Karbi Anglong,1.843407844,0.000151248,1.843256596,9.52E-05,2.000190403,12778.65284,
Kargil,1984,1,1,,,Kargil,46,1,154801,1,Kargil,0.468179461,0.181839586,0.286339875,0.000297156,1.000297156,443.2569899,
Kargil,1988,1,1,,,Kargil,46,1,154801,1,Kargil,0.468179461,0.181839586,0.286339875,0.000297156,1.000297156,443.2569899,
Kargil,2013,1,1,,,Kargil,46,1,154801,1,Kargil,0.468179461,0.181839586,0.286339875,0.000297156,1.000297156,443.2569899,
Karimganj,1993,1,9,,,Karimganj,116,14,1393118,11,Karimganj,22.54591712,0.019195636,22.52672148,8.33E-05,9.000749398,313823.8117,
Karimganj,2000,1,8,,,Karimganj,116,14,1393118,11,Karimganj,22.54591712,0.019195636,22.52672148,8.33E-05,8.000666132,313823.8117,
Karimganj,2022,1,1,,,Karimganj,116,14,1393118,11,Karimganj,22.54591712,0.019195636,22.52672148,8.33E-05,1.000083266,313823.8117,
Karimnagar,1983,1,4,,,Karimnagar,140,1,1113366,7,Karimnagar,1.016544336,1.029366402,0.012822066,0.000125745,4.000502979,142.7565233,
Karimnagar,2022,5,1.8,,,Karimnagar,140,1,1113366,7,Karimnagar,1.016544336,1.029366402,0.012822066,0.000125745,9.001131703,142.7565233,
"Karimnagar, Khammam, Nizamabad, Warangal, Warangal, Warangal, Warangal",2016,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Karnal,2023,1,4,,,Karnal,27,7,1700198,6,Karnal,3.351988487,0.003219511,3.348768976,1.59E-05,4.000063522,56935.70315,
"Karnal, Panipat, Kurukshetra, Sonipat, Gurugram",1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Karnal,Yamunanagar",2000,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kasaragod,1989,2,1,,,Kasaragod,108,40,1320168,6,Kasaragod,3.02140911,0.717632918,2.303776192,8.18E-05,2.000163616,30413.71608,
Kasaragod,1994,1,1,,,Kasaragod,108,40,1320168,6,Kasaragod,3.02140911,0.717632918,2.303776192,8.18E-05,1.000081808,30413.71608,
Kasaragod,2000,1,1,,,Kasaragod,108,40,1320168,6,Kasaragod,3.02140911,0.717632918,2.303776192,8.18E-05,1.000081808,30413.71608,
Kasaragod,2001,1,1,,,Kasaragod,108,40,1320168,6,Kasaragod,3.02140911,0.717632918,2.303776192,8.18E-05,1.000081808,30413.71608,
Kasaragod,2002,1,2,,,Kasaragod,108,40,1320168,6,Kasaragod,3.02140911,0.717632918,2.303776192,8.18E-05,2.000163616,30413.71608,
Kasaragod,2021,1,1,,,Kasaragod,108,40,1320168,6,Kasaragod,3.02140911,0.717632918,2.303776192,8.18E-05,1.000081808,30413.71608,
"Kasaragod, Kottayam,Palakkad",2003,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kasaragod, Kozhikode,Malappuram",1999,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur",1992,2,1.5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur",1999,1,6,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,6.000344251,18263.97663,
"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur, Churu, Jhunjhunun, Jaisalmer, Sikar, Alwar, Jaipur, Jodhpur, Bharatpur, Nagaur, Dausa, Karauli, Dholpur, Barmer, Sawai Madhopur, Tonk, Pali, Bhilwara, Jalore, Bundi, Kota, Sirohi, Baran, Udaipur, Jhalawar, Dungarpur, Banswara, Ajmer, Rajsamand, Chittorgarh, Ganganagar, Hanumangarh, Bikaner, Pratapgarh, Jhajjar, Gurugram, Faridabad, Mahendragarh, Rewari, Nuh, Palwal, Charki Dadri, Yamunanagar, Kurukshetra, Kaithal, Sirsa, Karnal, Jind, Fatehabad, Hisar, Panipat, Sonipat, Bhiwani, Rohtak, Panchkula, Ambala, Pashchim Champaran, Purbi Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (Bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Sshrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar Nagar, Auraiya, Ayodhya, Kanpur Nagar Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipurr, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh",1968,1,30,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,30.00172126,18263.97663,
Kashmir Valley,1973,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Kathua,2022,1,1,,,Kathua,112,21,639161,4,Kathua,1.038752523,0.993134601,0.045617922,0.00017523,1.00017523,291.5719664,
"Kathua, Reasi",2016,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kathua,Pulwama",2006,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Katihar,1983,1,7,,,Katihar,221,2,3735857,20,Katihar,13.34677951,1.934686307,11.4120932,5.92E-05,7.000414095,426339.4827,
"Katihar,Munger, Saran,Vaishali",1983,1,14,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,14.00080325,18263.97663,
"Katihar,Purnia",1989,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Kaushambi,2022,1,1,,,Kaushambi,41,1,1981279,21,Kaushambi,5.838259619,0.615851316,5.222408303,2.07E-05,1.000020694,103470.479,
Kendrapara,1995,1,5,,,Kendrapara,57,0,1692082,24,Kendrapara,23.2512603,4.951021358,18.30023894,3.37E-05,5.000168432,309655.0491,
Kendrapara,2021,1,2,,,Kendrapara,57,0,1692082,24,Kendrapara,23.2512603,4.951021358,18.30023894,3.37E-05,2.000067373,309655.0491,
Kendujhar,1995,1,3,,,Kendujhar,54,3,2118363,20,Kendujhar,1.491690841,0.370501647,1.121189194,2.55E-05,3.000076474,23750.85705,
Kendujhar,2015,1,1,,,Kendujhar,54,3,2118363,20,Kendujhar,1.491690841,0.370501647,1.121189194,2.55E-05,1.000025491,23750.85705,
"Khagaria,Munger",1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Khammam,1983,1,4,,,Khammam,177,0,1521069,7,Khammam,0.560077929,0.458663756,0.101414173,0.000116366,4.000465462,1542.579547,
Khammam,2022,1,1,,,Khammam,177,0,1521069,7,Khammam,0.560077929,0.458663756,0.101414173,0.000116366,1.000116366,1542.579547,
"Khammam, Bhadradri Bhadradri Kothagudem Kothagudem",1976,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Khammam, Krishna, East Godavari,Srikakulam",2004,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Khammam, Kurnool,Srikakulam",2007,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Khargone (Khargone (West Nimar)),1979,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Khargone (Khargone (West Nimar)),2001,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Khargone (Khargone (West Nimar)),2022,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Khargone (Khargone (West Nimar)),Indore",1981,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Kheda,1997,1,1,,,Kheda,102,6,2023119,15,Kheda,2.857113599,0.01148306,2.845630539,5.04E-05,1.000050417,57570.4921,
Kheda,2019,1,1,,,Kheda,102,6,2023119,15,Kheda,2.857113599,0.01148306,2.845630539,5.04E-05,1.000050417,57570.4921,
Kheda,2022,1,1,,,Kheda,102,6,2023119,15,Kheda,2.857113599,0.01148306,2.845630539,5.04E-05,1.000050417,57570.4921,
Kheri,1991,1,1,,,Kheri,146,6,4820329,16,Kheri,7.086100462,0.145950617,6.940149845,3.03E-05,1.000030288,334538.0556,
Kheri,2022,1,1,,,Kheri,146,6,4820329,16,Kheri,7.086100462,0.145950617,6.940149845,3.03E-05,1.000030288,334538.0556,
Khordha,1995,1,1,,,Khordha,28,0,2574912,29,Khordha,3.367308168,1.214771584,2.152536584,1.09E-05,1.000010874,55425.92281,
Khordha,2021,1,2,,,Khordha,28,0,2574912,29,Khordha,3.367308168,1.214771584,2.152536584,1.09E-05,2.000021748,55425.92281,
Kinnaur,1980,1,1,,,Kinnaur,225,64,87703,5,Kinnaur,0.710681995,0.171089112,0.539592883,0.002565477,1.002565477,473.2391462,
Kinnaur,2001,1,1,,,Kinnaur,225,64,87703,5,Kinnaur,0.710681995,0.171089112,0.539592883,0.002565477,1.002565477,473.2391462,
Kinnaur,2003,1,1,,,Kinnaur,225,64,87703,5,Kinnaur,0.710681995,0.171089112,0.539592883,0.002565477,1.002565477,473.2391462,
Kinnaur,2005,1,1,,,Kinnaur,225,64,87703,5,Kinnaur,0.710681995,0.171089112,0.539592883,0.002565477,1.002565477,473.2391462,
Kinnaur,2007,1,3,,,Kinnaur,225,64,87703,5,Kinnaur,0.710681995,0.171089112,0.539592883,0.002565477,3.00769643,473.2391462,
Kinnaur,2019,1,1,,,Kinnaur,225,64,87703,5,Kinnaur,0.710681995,0.171089112,0.539592883,0.002565477,1.002565477,473.2391462,
Kinnaur,2021,1,1,,,Kinnaur,225,64,87703,5,Kinnaur,0.710681995,0.171089112,0.539592883,0.002565477,1.002565477,473.2391462,
"Kinnaur, Shimla",1997,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Kinnaur,Lahul And Spiti",2007,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Kinnaur,Shimla",2000,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Kiphire, Kohima, Zunheboto",2018,1,31,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,31.00177863,18263.97663,
Kishtwar,2019,1,1,,,Kishtwar,55,29,231938,5,Kishtwar,0.405119324,0.12316298,0.281956344,0.000237132,1.000237132,653.9639051,
Kishtwar,2020,1,1,,,Kishtwar,55,29,231938,5,Kishtwar,0.405119324,0.12316298,0.281956344,0.000237132,1.000237132,653.9639051,
Kishtwar,2022,1,1,,,Kishtwar,55,29,231938,5,Kishtwar,0.405119324,0.12316298,0.281956344,0.000237132,1.000237132,653.9639051,
Kodagu,2001,1,1,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,1.00009899,3691.184246,
Kodagu,2002,1,5,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,5.000494951,3691.184246,
Kodagu,2007,1,1,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,1.00009899,3691.184246,
Kodagu,2013,1,1,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,1.00009899,3691.184246,
Kodagu,2017,1,1,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,1.00009899,3691.184246,
Kodagu,2019,1,1,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,1.00009899,3691.184246,
Kodagu,2022,2,1,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,2.000197981,3691.184246,
Kodagu,2023,1,1,,,Kodagu,57,17,575814,6,Kodagu,0.795547476,0.154509876,0.6410376,9.90E-05,1.00009899,3691.184246,
"Kodagu, Shivamogga,Udupi",2012,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Kodagu, Uttar Kashia Kannada",1980,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Kodagu,Shivamogga",1998,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kohima,1981,1,7,,,Kohima,5,0,311382,6,Kohima,0.321623488,0,0.321623488,1.61E-05,7.000112402,1001.477649,
Kohima,1999,1,3,,,Kohima,5,0,311382,6,Kohima,0.321623488,0,0.321623488,1.61E-05,3.000048172,1001.477649,
Kohima,2013,1,1,,,Kohima,5,0,311382,6,Kohima,0.321623488,0,0.321623488,1.61E-05,1.000016057,1001.477649,
Kokrajhar,2022,1,6,,,Kokrajhar,71,1,1311786,13,Kokrajhar,2.564133007,0.046972576,2.517160431,5.41E-05,6.000324748,33019.75813,
Kokrajhar,2023,1,1,,,Kokrajhar,71,1,1311786,13,Kokrajhar,2.564133007,0.046972576,2.517160431,5.41E-05,1.000054125,33019.75813,
Kolar,1981,1,1,,,Kolar,78,21,1625062,8,Kolar,0.261632224,0.109739276,0.151892948,4.80E-05,1.000047998,2468.354579,
"Kolasib, Aizawl, Mamit, Champhai, Serchhip, Lunglei, Siaha, Lawngtlai",1991,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Kolasib, Aizawl, Mamit, Champhai, Serchhip, Lunglei, Siaha, Lawngtlai",1993,1,17,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,17.00097538,18263.97663,
Kolhapur,1986,2,2.5,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,5.000326362,31326.74762,
Kolhapur,1991,1,2,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,2.000130545,31326.74762,
Kolhapur,1993,1,1,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,1.000065272,31326.74762,
Kolhapur,1997,2,4,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,8.000522178,31326.74762,
Kolhapur,2005,1,1,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,1.000065272,31326.74762,
Kolhapur,2019,1,1,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,1.000065272,31326.74762,
Kolhapur,2021,1,1,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,1.000065272,31326.74762,
Kolhapur,2023,1,1,,,Kolhapur,258,32,3952672,4,Kolhapur,1.531674907,0.739128811,0.792546096,6.53E-05,1.000065272,31326.74762,
